fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
34,91,0.374,7,36,0.194,17,28,0.607,17,28,45,20,8,6,13,16,27,55,0.4909090909090909,0
42,85,0.494,12,32,0.375,13,16,0.813,10,40,50,26,7,3,22,26,30,53,0.5660377358490566,1
41,97,0.423,13,38,0.342,26,34,0.765,14,24,38,24,9,5,7,27,28,59,0.4745762711864407,0
42,74,0.568,19,36,0.528,29,33,0.879,4,39,43,31,1,10,19,25,23,38,0.6052631578947368,1
47,86,0.547,16,34,0.471,14,23,0.609,6,37,43,25,10,2,9,20,31,52,0.5961538461538461,1
39,86,0.453,6,28,0.214,15,21,0.714,8,32,40,21,4,1,15,19,33,58,0.5689655172413793,0
46,86,0.535,20,45,0.444,20,23,0.87,6,34,40,27,11,4,16,24,26,41,0.6341463414634146,0
44,96,0.458,21,47,0.447,25,30,0.833,15,32,47,27,5,0,14,19,23,49,0.46938775510204084,1
37,87,0.425,8,25,0.32,29,36,0.806,7,37,44,22,6,7,10,18,29,62,0.46774193548387094,1
38,88,0.432,12,38,0.316,18,25,0.72,6,40,46,21,5,6,14,25,26,50,0.52,0
45,94,0.479,16,42,0.381,23,28,0.821,9,26,35,31,13,4,23,31,29,52,0.5576923076923077,0
51,91,0.56,9,19,0.474,24,28,0.857,9,32,41,32,12,5,24,24,42,72,0.5833333333333334,1
40,90,0.444,13,39,0.333,16,19,0.842,11,34,45,27,5,5,10,17,27,51,0.5294117647058824,0
45,87,0.517,15,33,0.455,13,21,0.619,8,34,42,27,3,9,10,15,30,54,0.5555555555555556,1
37,89,0.416,17,47,0.362,8,16,0.5,11,30,41,15,7,7,11,15,20,42,0.47619047619047616,0
44,88,0.5,13,30,0.433,9,13,0.692,8,43,51,20,5,5,14,19,31,58,0.5344827586206896,1
47,93,0.505,12,36,0.333,12,22,0.545,13,27,40,27,12,3,14,15,35,57,0.6140350877192983,0
46,90,0.511,12,33,0.364,16,20,0.8,8,35,43,25,8,1,16,19,34,57,0.5964912280701754,1
47,91,0.516,15,30,0.5,9,13,0.692,11,36,47,28,6,10,12,12,32,61,0.5245901639344263,1
37,95,0.389,6,27,0.222,12,12,1.0,15,32,47,17,5,10,13,10,31,68,0.45588235294117646,0
