fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
42,92,0.457,17,41,0.415,23,29,0.793,7,36,43,24,6,4,10,22,25,51,0.490196078,1
45,93,0.484,12,35,0.343,19,22,0.864,9,40,49,25,5,5,13,22,33,58,0.568965517,0
35,86,0.407,9,29,0.31,18,23,0.783,13,31,44,17,6,6,16,20,26,57,0.456140351,0
49,98,0.5,13,30,0.433,12,18,0.667,13,30,43,32,8,3,8,22,36,68,0.529411765,1
36,81,0.444,5,27,0.185,21,26,0.808,7,44,51,20,14,8,22,17,31,54,0.574074074,1
30,97,0.309,7,34,0.206,16,22,0.727,19,35,54,14,10,4,19,21,23,63,0.365079365,0
34,91,0.374,7,35,0.2,11,18,0.611,15,35,50,19,4,2,15,15,27,56,0.482142857,0
40,91,0.44,14,47,0.298,13,15,0.867,12,41,53,18,6,5,10,19,26,44,0.590909091,1
31,93,0.333,13,43,0.302,12,13,0.923,10,40,50,16,7,3,15,21,18,50,0.36,0
45,94,0.479,15,35,0.429,8,9,0.889,6,49,55,31,8,9,13,16,30,59,0.508474576,1
42,96,0.438,14,40,0.35,15,21,0.714,8,31,39,24,9,2,7,25,28,56,0.5,0
43,83,0.518,15,31,0.484,14,22,0.636,10,43,53,27,5,4,21,20,28,52,0.538461538,1
32,84,0.381,12,42,0.286,19,29,0.655,5,33,38,19,6,0,15,26,20,42,0.476190476,0
51,96,0.531,15,35,0.429,20,31,0.645,11,47,58,28,8,2,11,26,36,61,0.590163934,1
42,100,0.42,10,35,0.286,21,21,1,21,39,60,22,16,2,12,13,32,65,0.492307692,1
32,82,0.39,11,34,0.324,8,11,0.727,10,32,42,19,6,12,25,19,21,48,0.4375,0
42,87,0.483,15,29,0.517,13,16,0.813,9,33,42,26,7,5,17,20,27,58,0.465517241,0
47,89,0.528,14,28,0.5,20,25,0.8,11,35,46,32,9,7,14,14,33,61,0.540983607,1
48,91,0.527,13,32,0.406,14,17,0.824,11,35,46,32,13,1,18,16,35,59,0.593220339,1
43,84,0.512,9,31,0.29,17,20,0.85,7,29,36,26,9,3,19,15,34,53,0.641509434,0
40,84,0.476,6,24,0.25,10,14,0.714,7,32,39,24,11,2,20,17,34,60,0.566666667,0
44,86,0.512,9,30,0.3,5,8,0.625,8,33,41,26,10,2,21,21,35,56,0.625,1
