fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
45,96,0.469,14,42,0.333,15,19,0.789,11,33,44,28,9,5,18,23,31,54,0.5740740740740741,0
40,88,0.455,10,32,0.313,11,17,0.647,8,35,43,26,7,2,16,20,30,56,0.5357142857142857,0
41,81,0.506,12,33,0.364,20,26,0.769,6,35,41,24,10,7,15,24,29,48,0.6041666666666666,1
47,97,0.485,16,35,0.457,19,20,0.95,10,26,36,31,10,3,11,21,31,62,0.5,1
41,78,0.526,9,27,0.333,26,32,0.813,8,30,38,26,4,6,19,22,32,51,0.6274509803921569,0
50,106,0.472,17,36,0.472,19,22,0.864,11,44,55,27,8,7,17,23,33,70,0.4714285714285714,1
50,111,0.45,18,45,0.4,14,19,0.737,16,39,55,24,9,9,13,26,32,66,0.48484848484848486,0
32,85,0.376,11,42,0.262,12,19,0.632,4,25,29,17,14,4,6,19,21,43,0.4883720930232558,0
36,73,0.493,8,21,0.381,14,21,0.667,4,45,49,20,1,6,19,20,28,52,0.5384615384615384,1
46,86,0.535,11,26,0.423,17,20,0.85,12,30,42,24,4,1,18,23,35,60,0.5833333333333334,0
40,76,0.526,17,39,0.436,30,35,0.857,2,22,24,30,12,4,9,20,23,37,0.6216216216216216,1
50,98,0.51,14,32,0.438,10,13,0.769,18,35,53,24,4,2,20,22,36,66,0.5454545454545454,1
47,98,0.48,12,37,0.324,16,23,0.696,13,26,39,30,8,2,12,17,35,61,0.5737704918032787,0
37,84,0.44,9,35,0.257,26,31,0.839,16,33,49,29,9,7,16,18,28,49,0.5714285714285714,0
42,102,0.412,15,44,0.341,17,20,0.85,22,28,50,19,12,9,13,26,27,58,0.46551724137931033,1
32,83,0.386,6,30,0.2,25,30,0.833,9,36,45,15,10,5,17,22,26,53,0.49056603773584906,0
39,88,0.443,6,26,0.231,20,23,0.87,11,43,54,19,8,2,18,22,33,62,0.532258064516129,1
43,88,0.489,14,39,0.359,12,20,0.6,8,42,50,23,4,2,21,30,29,49,0.5918367346938775,0
39,90,0.433,10,36,0.278,29,36,0.806,8,30,38,21,9,1,11,25,29,54,0.5370370370370371,1
37,85,0.435,12,34,0.353,20,26,0.769,11,35,46,25,8,2,9,14,25,51,0.49019607843137253,1
33,79,0.418,10,28,0.357,19,24,0.792,9,36,45,19,3,5,17,21,23,51,0.45098039215686275,0
37,86,0.43,18,47,0.383,13,21,0.619,7,34,41,19,9,1,13,13,19,39,0.48717948717948717,0
41,84,0.488,12,30,0.4,19,20,0.95,8,44,52,25,5,5,17,21,29,54,0.5370370370370371,1
42,92,0.457,12,29,0.414,16,20,0.8,11,27,38,26,3,1,6,16,30,63,0.47619047619047616,0
50,90,0.556,16,37,0.432,15,20,0.75,10,36,46,30,3,5,7,19,34,53,0.6415094339622641,1
37,92,0.402,8,30,0.267,19,26,0.731,14,32,46,25,6,3,13,17,29,62,0.46774193548387094,0
40,82,0.488,15,36,0.417,11,14,0.786,8,36,44,29,5,3,15,27,25,46,0.5434782608695652,1
45,87,0.517,12,36,0.333,18,21,0.857,10,30,40,27,10,4,15,17,33,51,0.6470588235294118,1
42,88,0.477,10,25,0.4,20,26,0.769,14,27,41,22,11,5,14,22,32,63,0.5079365079365079,0
37,79,0.468,10,30,0.333,19,22,0.864,7,26,33,29,10,4,15,25,27,49,0.5510204081632653,0
44,88,0.5,7,33,0.212,19,27,0.704,15,31,46,25,8,3,14,19,37,55,0.6727272727272727,1
37,80,0.463,7,31,0.226,31,41,0.756,12,31,43,22,6,6,15,23,30,49,0.6122448979591837,0
42,94,0.447,10,40,0.25,27,29,0.931,16,31,47,23,7,3,11,31,32,54,0.5925925925925926,1
38,88,0.432,11,30,0.367,26,36,0.722,14,25,39,20,13,4,16,16,27,58,0.46551724137931033,0
52,93,0.559,15,36,0.417,13,17,0.765,15,29,44,31,10,6,19,27,37,57,0.6491228070175439,1
38,95,0.4,13,42,0.31,8,9,0.889,11,27,38,22,7,4,11,14,25,53,0.4716981132075472,0
43,82,0.524,15,33,0.455,13,15,0.867,9,41,50,23,2,4,15,11,28,49,0.5714285714285714,1
32,98,0.327,12,43,0.279,17,23,0.739,21,27,48,22,7,5,17,14,20,55,0.36363636363636365,0
43,85,0.506,12,31,0.387,13,15,0.867,9,41,50,22,3,13,19,22,31,54,0.5740740740740741,1
36,80,0.45,13,31,0.419,27,35,0.771,12,32,44,20,6,2,12,21,23,49,0.46938775510204084,0
41,81,0.506,14,43,0.326,21,26,0.808,7,33,40,26,8,2,11,27,27,38,0.7105263157894737,1
39,91,0.429,18,48,0.375,21,24,0.875,9,33,42,27,6,4,7,17,21,43,0.4883720930232558,1
37,89,0.416,16,38,0.421,18,21,0.857,11,39,50,23,4,3,14,23,21,51,0.4117647058823529,0
